generation,id,novelty,score,species,parent1,parent2
226,36645,0.5249423187055259,0.06336,8,36439,36444
227,36645,0.48264773815188977,0.06336,8,36439,36444
228,36645,0.5296989423668633,0.06336,8,36439,36444
229,36645,0.5103094546662601,0.06336,8,36439,36444
230,36645,0.5256711498702051,0.06336,8,36439,36444
231,43198,0.46521841694618227,1.177906,14,42412,43003
232,43399,0.49100786141120495,1.938114,14,43191,43209
233,43602,0.5039537570661843,0.544588,14,43463,43387
234,43673,0.4939981620288138,0.678785,15,43345,43540
235,43673,0.4801233124069034,0.678785,15,43345,43540
236,43602,0.5086919709557887,0.544588,14,43463,43387
237,43602,0.4814159912022401,0.544588,14,43463,43387
238,43602,0.4788711818363968,0.544588,14,43463,43387
239,44669,0.5013580648475405,1.283667,15,44490,44459
240,43602,0.48750009028137925,0.544588,14,43463,43387
241,43602,0.4928239076236419,0.544588,14,43463,43387
242,43602,0.4983092026037411,0.544588,14,43463,43387
243,43602,0.4923799191581839,0.544588,14,43463,43387
244,43602,0.4673585737508278,0.544588,14,43463,43387
245,45937,0.4604173372498749,0.760854,15,45666,45631
246,45926,0.47061844155247856,0.849078,15,45666,45655
247,45926,0.47346007208145235,0.849078,15,45666,45655
248,45926,0.4775919095394083,0.849078,15,45666,45655
249,46673,0.46771996543205707,1.593221,14,46461,46461
250,45926,0.45803905806635287,0.849078,15,45666,45655
251,47140,0.4690481771053502,0.241993,15,46894,46845
252,45926,0.4737403618818324,0.849078,15,45666,45655
253,47246,0.4553644098517498,0.499608,16,47039,47037
254,47690,0.4658666042872799,0.134045,15,47509,47553
255,47690,0.4664722029532362,0.134045,15,47509,47553
256,47949,0.47310059126025067,1.760162,14,47622,47622
257,47690,0.4839723083705313,0.134045,16,47509,47553
258,48362,0.4624636815551145,1.944002,15,48184,48181
259,48496,0.47934741711139706,0.707745,16,48284,48280
260,48496,0.4507726421300999,0.707745,16,48284,48280
261,48496,0.4667300665389238,0.707745,16,48284,48280
262,49012,0.4618831081371349,1.404327,15,48807,47690
263,49304,0.453408305199606,3.597558,14,48923,48923
264,49516,0.48204483999673253,0.062924,17,49380,49343
265,49772,0.45787452248421834,1.09551,15,49569,49569
266,50040,0.5092136059012549,2.201785,15,49783,49819
267,50040,0.4811967270561465,2.201785,15,49783,49819
268,50040,0.5005677451174307,2.201785,15,49783,49819
269,50538,0.44210828625660925,0.092174,14,50278,49892
270,50254,0.45283839213909316,0.236052,15,50050,50044
271,50659,0.459393776125757,0.927213,17,50544,50562
272,50638,0.47755306558002275,0.177247,15,50399,50040
273,51049,0.45663705878754446,0.737431,14,50819,50924
274,50638,0.46632127203377843,0.177247,15,50399,50040
275,51737,0.4668710805252413,1.941035,14,51559,51334
276,51666,0.46326582053391663,0.905267,16,51147,51489
277,51972,0.4744919546797885,1.270214,14,51708,51738
278,51972,0.47721137229537947,1.270214,14,51708,51738
279,52474,0.46818030446367154,0.998744,15,52318,50638
280,52120,0.4481288794923378,0.90798,15,51923,51897
281,52120,0.46238290387640585,0.90798,15,51923,51897
282,52848,0.44951391325665907,0.682771,17,52583,52580
283,52474,0.45912806775469683,0.998744,15,52318,50638
284,53527,0.4552654316153777,1.618809,15,52474,53203
285,53615,0.42794291063140133,1.377556,17,53480,53445
286,53837,0.427084502132003,1.676191,16,53667,53630
287,53978,0.45425316105520025,0.679874,15,53765,53769
288,54236,0.42986188631779787,1.698862,16,54096,54105
289,54162,0.43664007887708406,0.363987,14,54039,53539
290,54669,0.4535132844919033,1.097663,14,54430,54430
291,54845,0.4448853940130364,0.016237,14,54665,54665
292,54878,0.44833286017201623,0.186561,15,54751,54756
293,54878,0.46309423803107796,0.186561,15,54751,54756
294,55351,0.45973594709666954,0.782877,16,55180,55200
295,55498,0.45058593738070707,0.951861,17,55389,55399
296,55720,0.47474459186969925,2.09421,16,55637,55637
297,55969,0.4489947571353142,1.178707,15,55768,55787
298,54878,0.4634238960277253,0.186561,15,54751,54756
