generation,id,parent,success_keys
11,492,413,[44]
11,500,128,[100]
12,501,51,[87]
12,505,227,[90]
12,506,377,[120]
12,510,342,[86]
12,511,237,[120]
12,512,452,[66]
12,516,19,[66]
12,519,361,[120]
12,528,51,[57]
12,538,3,[87]
12,539,273,[86]
13,546,395,[75]
13,549,435,[102]
13,553,371,[125]
13,554,5,[96]
13,555,66,[103]
13,556,229,[68]
13,559,377,[125]
13,561,274,[125]
13,565,478,[112]
13,577,66,[68]
13,579,395,[132]
13,580,199,[134]
14,581,413,[112]
14,585,464,[96]
14,587,51,[89]
14,589,151,[148]
14,594,387,[140]
14,598,472,[89]
14,603,371,[132]
14,607,512,[92]
14,609,204,[140]
14,610,561,[97]
14,612,74,[148]
14,619,361,[92]
15,622,66,[148]
15,624,470,[112]
15,627,292,[156]
15,628,332,[145]
15,632,292,[156]
15,633,579,[153]
15,636,553,[153]
15,638,10,[103]
15,644,53,[156]
15,649,227,[107]
15,651,10,[103]
15,657,289,[124]
16,668,556,[145]
16,670,633,[145]
16,674,141,[132]
16,675,577,[153]
16,678,266,[140]
16,692,638,[126]
16,695,452,[126]
16,697,260,[126]
16,698,237,[128]
17,702,657,[135]
17,706,128,[135]
17,714,538,[135]
17,717,622,[162]
17,723,668,[136]
17,729,539,[136]
17,740,559,[136]
18,742,273,[161]
18,744,624,[172]
18,748,10,[154]
18,749,610,[149]
18,753,331,[161]
18,757,369,[178]
18,758,397,[173]
18,759,66,[171]
18,768,632,[144]
18,773,221,[184]
18,774,622,[184]
18,775,456,[161]
18,779,598,[151]
19,782,627,[177]
19,783,403,[149]
19,785,553,[172]
19,788,342,[149]
19,792,289,[159]
19,795,702,[159]
19,798,107,[169]
19,809,66,[194]
19,810,723,[195]
19,813,758,[194]
19,814,561,[151]
19,820,603,[195]
20,821,512,[194]
20,825,589,[188]
20,826,397,[166]
20,835,424,[151]
20,841,565,[164]
20,842,788,[154]
20,844,292,[169]
20,850,748,[167]
20,852,424,[182]
20,854,594,[171]
21,861,423,[184]
21,863,619,[198]
21,865,556,[172]
21,866,342,[193]
21,867,549,[195]
21,868,632,[193]
21,869,844,[193]
21,879,782,[155]
21,881,675,[198]
21,885,668,[169]
21,886,519,[173]
21,890,342,[177]
21,891,510,[216]
21,898,798,[159]
22,907,844,[216]
22,908,636,[223]
22,909,842,[188]
22,910,749,[223]
22,912,442,[177]
22,916,488,[168]
22,924,820,[223]
22,929,748,[198]
22,932,869,[173]
