generation,id,fitness,species,parent1,parent2
230,40524,6.067949,5,40306,40340
231,40524,6.067949,5,40306,40340
232,42042,6.085869,5,40524,41862
233,42042,6.085869,5,40524,41862
234,42042,6.085869,5,40524,41862
235,42042,6.085869,5,40524,41862
236,42042,6.085869,5,40524,41862
237,42042,6.085869,5,40524,41862
238,42042,6.085869,5,40524,41862
239,42042,6.085869,5,40524,41862
240,43570,6.188767,5,43383,43383
241,43570,6.188767,5,43383,43383
242,43570,6.188767,5,43383,43383
243,43570,6.188767,5,43383,43383
244,43570,6.188767,5,43383,43383
245,43570,6.188767,5,43383,43383
246,43570,6.188767,5,43383,43383
247,43570,6.188767,5,43383,43383
248,43570,6.188767,5,43383,43383
249,43570,6.188767,5,43383,43383
250,43570,6.188767,5,43383,43383
251,43570,6.188767,5,43383,43383
252,43570,6.188767,5,43383,43383
253,43570,6.188767,5,43383,43383
254,43570,6.188767,5,43383,43383
255,43570,6.188767,5,43383,43383
256,43570,6.188767,5,43383,43383
257,43570,6.188767,5,43383,43383
258,43570,6.188767,5,43383,43383
259,43570,6.188767,5,43383,43383
260,43570,6.188767,5,43383,43383
261,43570,6.188767,5,43383,43383
262,43570,6.188767,5,43383,43383
263,43570,6.188767,5,43383,43383
264,43570,6.188767,5,43383,43383
265,43570,6.188767,5,43383,43383
266,48448,6.434886,5,43570,43570
267,48448,6.434886,5,43570,43570
268,48448,6.434886,5,43570,43570
269,48448,6.434886,5,43570,43570
270,48448,6.434886,5,43570,43570
271,48448,6.434886,5,43570,43570
272,48448,6.434886,5,43570,43570
273,48448,6.434886,5,43570,43570
274,48448,6.434886,5,43570,43570
275,48448,6.434886,5,43570,43570
276,48448,6.434886,5,43570,43570
277,48448,6.434886,5,43570,43570
278,48448,6.434886,5,43570,43570
279,48448,6.434886,5,43570,43570
280,48448,6.434886,5,43570,43570
281,48448,6.434886,5,43570,43570
282,51459,6.487793,5,48448,43570
283,51459,6.487793,5,48448,43570
284,51459,6.487793,5,48448,43570
285,51459,6.487793,5,48448,43570
286,51459,6.487793,5,48448,43570
287,51459,6.487793,5,48448,43570
288,51459,6.487793,5,48448,43570
289,51459,6.487793,5,48448,43570
290,51459,6.487793,5,48448,43570
291,51459,6.487793,5,48448,43570
292,51459,6.487793,5,48448,43570
293,51459,6.487793,5,48448,43570
294,51459,6.487793,5,48448,43570
295,51459,6.487793,5,48448,43570
296,51459,6.487793,5,48448,43570
297,51459,6.487793,5,48448,43570
298,51459,6.487793,5,48448,43570
299,51459,6.487793,5,48448,43570
300,51459,6.487793,5,48448,43570
301,51459,6.487793,5,48448,43570
302,51459,6.487793,5,48448,43570
303,51459,6.487793,5,48448,43570
304,51459,6.487793,5,48448,43570
305,51459,6.487793,5,48448,43570
306,51459,6.487793,5,48448,43570
307,51459,6.487793,5,48448,43570
308,51459,6.487793,5,48448,43570
309,51459,6.487793,5,48448,43570
310,51459,6.487793,5,48448,43570
311,51459,6.487793,5,48448,43570
312,51459,6.487793,5,48448,43570
313,51459,6.487793,5,48448,43570
314,51459,6.487793,5,48448,43570
315,51459,6.487793,5,48448,43570
316,51459,6.487793,5,48448,43570
317,51459,6.487793,5,48448,43570
318,51459,6.487793,5,48448,43570
319,51459,6.487793,5,48448,43570
320,51459,6.487793,5,48448,43570
