generation,id,reward,species,parent1,parent2
5,246,0.5,2,209,209
5,247,0.7495695868526195,2,151,209
5,248,0.5,2,155,155
5,249,0.5304314217256741,2,151,151
5,250,0.6955874200456506,2,209,155
5,251,0.5,2,209,151
5,252,0.6348356148897105,2,209,209
5,253,0.5,2,209,155
5,254,0.6823353739498126,2,151,151
5,255,0.6671908385780674,2,209,155
5,256,0.5,2,151,155
5,257,0.5127739865458391,2,209,151
5,208,0.7479158996241178,1,181,87
5,181,0.7335681135817538,1,87,130
5,258,0.7307220786065777,2,208,205
5,259,0.6228706514399256,2,205,181
5,260,0.6826844823234525,1,181,181
5,261,0.5461853757417995,1,208,208
5,262,0.5,2,208,208
5,263,0.5000533437344887,2,208,205
5,264,0.5038752716158397,1,208,208
5,265,0.6796877978669735,1,181,208
5,266,0.5,1,181,181
5,267,0.6431374760441777,1,205,205
5,268,0.5,2,205,205
5,269,0.5621691692251949,2,205,208
5,270,0.5238117988471145,1,181,205
5,271,0.749987538823478,1,205,205
5,272,0.550363660131481,1,181,208
5,273,0.500243571745322,1,208,181
5,274,0.6572313597545505,2,181,181
5,275,0.5,1,205,208
5,276,0.5,1,208,181
5,277,0.5282535281648174,1,208,181
5,278,0.5,2,205,181
5,279,0.6710929117166662,2,181,181
5,280,0.5,2,181,205
6,247,0.7495695868526195,2,151,209
6,151,0.7467640045063354,2,4,4
6,281,0.5899792790627159,2,151,247
6,282,0.5,2,155,151
6,283,0.6360791781311058,2,240,155
6,284,0.5,2,247,151
6,285,0.6654151414724241,2,247,155
6,286,0.7497567329387971,2,240,247
6,287,0.6781427090542292,2,151,155
6,288,0.5599497346559006,2,240,155
6,289,0.5,2,240,151
6,290,0.5,2,151,247
6,291,0.5,2,240,155
6,292,0.5,2,155,151
6,293,0.5,2,155,155
6,294,0.5,2,151,247
6,295,0.5,2,151,240
6,296,0.5,2,151,247
6,297,0.5354447667803846,2,155,247
6,298,0.6732347985798999,2,155,240
6,299,0.5100552393353415,2,240,155
6,300,0.6632127134263157,2,151,247
6,301,0.5056916225512611,2,247,240
6,302,0.7259836738303769,2,155,247
6,303,0.5,2,155,155
6,304,0.5369923139926149,2,247,240
6,305,0.6824665596737762,2,151,240
6,306,0.5,2,240,247
6,307,0.5513473131350473,2,240,155
6,271,0.749987538823478,1,205,205
6,208,0.7479158996241178,1,181,87
6,308,0.5,1,271,208
6,309,0.6345134637559052,1,208,208
6,310,0.5,1,208,208
6,311,0.6533040542012671,1,271,271
6,312,0.5,1,208,271
6,313,0.7088730622673536,1,208,271
6,314,0.7459499710006806,1,271,208
6,315,0.5809451993748981,2,271,208
6,316,0.5131699935255946,1,208,208
6,317,0.5,1,208,208
6,318,0.7111899076069916,1,271,208
6,319,0.5995455665902483,1,208,208
6,320,0.5,1,271,208
6,321,0.5,2,271,271
6,322,0.7404167298539588,1,208,271
6,323,0.5,1,271,208
6,324,0.5668094679886462,1,208,271
6,325,0.5,1,271,271
6,326,0.6133084049545787,1,208,271
7,286,0.7497567329387971,2,240,247
7,247,0.7495695868526195,2,151,209
7,327,0.5,2,151,151
7,328,0.5,2,286,247
7,329,0.6068421485653481,2,286,151
7,330,0.5,2,247,151
7,331,0.5,2,286,286
7,332,0.7496113237625458,2,151,302
7,333,0.5,2,247,302
7,334,0.5191528154570548,2,286,247
7,335,0.5,2,151,286
7,336,0.5,2,302,151
7,337,0.7468448887225598,2,286,151
7,338,0.542357506154709,2,151,302
7,339,0.5,2,286,302
7,340,0.5346118800176884,2,286,151
7,341,0.5,2,286,286
7,342,0.583050155845539,2,151,247
7,343,0.5135671368755638,2,286,151
7,344,0.5,2,286,247
7,345,0.5,2,247,286
7,346,0.6242628400091866,2,151,247
7,347,0.5001531768955891,2,286,151
7,348,0.5,2,247,286
7,349,0.5662488823050699,2,302,286
7,350,0.5,2,286,286
7,271,0.749987538823478,1,205,205
7,208,0.7479158996241178,1,181,87
7,351,0.5002987556181697,1,271,271
7,352,0.5011269660212121,1,271,271
7,353,0.5,1,271,208
7,354,0.5,1,271,208
7,355,0.5,1,271,271
7,356,0.5,1,208,208
7,357,0.5080054576738875,2,208,208
7,358,0.5264936574184188,1,208,208
7,359,0.5884813462096097,2,208,271
7,360,0.7448870136898645,2,271,208
7,361,0.6415902935277773,1,208,271
7,362,0.5,2,271,208
7,363,0.7001263763803869,2,208,271
7,364,0.5,1,208,271
7,365,0.5,1,271,208
7,366,0.5,1,208,208
7,367,0.551739405418778,1,271,271
7,368,0.602476281438673,1,271,208
7,369,0.5024581584230096,1,208,208
7,370,0.5002679849650689,1,271,271
7,371,0.5364055989845185,1,271,208
7,372,0.5,1,208,271
8,286,0.7497567329387971,2,240,247
8,332,0.7496113237625458,2,151,302
8,373,0.5,2,247,332
8,374,0.5034084319111073,2,286,286
8,375,0.5,2,337,286
8,376,0.500059223104775,2,247,337
8,377,0.7496563960064233,2,247,247
8,378,0.5,2,332,337
8,379,0.5656309132936079,2,332,337
8,380,0.6776264845628654,2,286,337
8,381,0.6537712915713739,2,332,286
8,382,0.5,2,247,332
8,383,0.7466421730826125,2,337,286
8,384,0.5,2,332,337
8,385,0.6831988221429569,2,286,286
8,386,0.5,2,332,286
8,387,0.5,2,337,247
8,388,0.5,2,286,286
8,389,0.5,2,337,247
8,390,0.7470534442524748,2,332,337
8,391,0.5,2,247,332
8,392,0.57350193479073,2,247,332
8,393,0.5,2,247,332
8,394,0.7203458934164064,2,247,247
8,395,0.5,2,247,286
8,396,0.5,2,337,286
8,397,0.5,2,247,286
8,398,0.5305690246108659,2,247,332
8,399,0.7469696845318591,2,286,247
