generation,id,novelty,score,species,parent1,parent2
296,56482,0.4226238957122053,1.667023,13,56221,55418
297,56563,0.528458431216856,1.547019,12,56400,56400
298,56835,0.45961393820452345,1.681407,12,56559,56385
299,57008,0.4127927764058281,1.690096,13,56758,56773
300,57237,0.43288783359421107,1.694817,13,57005,57025
301,57388,0.4012376872305481,1.586733,13,57214,57216
302,57548,0.3783324600191889,1.702301,13,57403,57346
303,57740,0.4528375719704547,1.685615,13,57377,57555
304,57901,0.44408487883326675,1.652619,13,57696,57721
305,58239,0.36191202035728454,1.615112,14,58006,58037
306,58259,0.4063973679962692,2.905816,13,58121,57755
307,58495,0.43489752278996135,1.688801,13,58249,57755
308,58709,0.4089086195525649,1.642143,13,58533,58303
309,58913,0.5010216171750304,1.556405,13,58720,57755
310,59066,0.37485408416261445,1.668221,13,58851,58904
311,59298,0.5064548472378498,1.524365,13,59091,59041
312,59436,0.42342489457803645,1.683513,13,59284,59270
313,59723,0.4736658379531441,1.696131,13,59502,59083
314,59958,0.4851459413046818,1.687337,14,59710,59694
315,60090,0.3737886053683011,1.689243,13,59827,59900
316,60255,0.44183870928677454,1.595242,13,60076,59796
317,60424,0.4199161711662487,1.696851,13,60255,60276
318,60720,0.4631420094069792,1.573005,14,60552,60581
319,60837,0.4572929620315293,1.794662,13,60699,60635
320,61009,0.3979433761724206,1.533598,13,60646,60815
321,61308,0.3473801545107251,1.492946,14,56348,61163
322,61538,0.46431040131925966,2.701753,14,61371,61345
323,61681,0.4649620478466732,1.56283,15,61408,61390
324,61807,0.3364156352870754,1.621366,13,61602,61605
325,61989,0.4068606770066434,1.664571,13,61774,61774
326,62165,0.40112603167937033,1.527333,13,62011,62009
327,62449,0.3590553806627743,1.711129,15,62212,62278
328,62688,0.4458612832439269,1.694094,15,62477,62455
329,62835,0.4128308297245063,1.664409,15,62455,62450
330,63012,0.3473747136525806,1.692326,15,62843,62843
331,63231,0.46360844745227614,1.60944,13,62975,62989
332,63412,0.41257795399651526,1.764282,15,63148,63050
333,63565,0.5358061727866075,2.933534,15,63430,63430
334,63565,0.465298116918563,2.933534,15,63430,63430
335,63916,0.3986314619905256,2.932766,15,63895,63565
336,64057,0.4994757293422619,2.690788,15,63748,63709
337,64057,0.47850042850023966,2.690788,16,63748,63709
338,64658,0.41616341513870697,2.828145,16,64320,64320
339,64057,0.4360996838959647,2.690788,16,63748,63709
340,64947,0.556965120633679,4.270205,16,64820,64852
341,64947,0.531760793510937,4.270205,16,64820,64852
342,64947,0.549476038938121,4.270205,16,64820,64852
343,64947,0.5537143514471011,4.270205,16,64820,64852
344,64947,0.5477137430739878,4.270205,16,64820,64852
345,64947,0.5506942082165917,4.270205,16,64820,64852
346,66164,0.4662996476322514,4.47756,16,64947,64947
347,66164,0.4415302755889481,4.47756,16,64947,64947
348,64947,0.5487850198003632,4.270205,16,64820,64852
349,64947,0.5505013087888008,4.270205,16,64820,64852
350,64947,0.4961496365620517,4.270205,16,64820,64852
351,64947,0.5505013087888008,4.270205,16,64820,64852
352,64947,0.53084992642428,4.270205,16,64820,64852
353,64947,0.5032247534358846,4.270205,16,64820,64852
354,64947,0.5490895514203745,4.270205,16,64820,64852
355,64947,0.5494385649494401,4.270205,16,64820,64852
356,64947,0.5221398798859233,4.270205,16,64820,64852
357,64947,0.5483799164620616,4.270205,16,64820,64852
358,64947,0.543962813411714,4.270205,16,64820,64852
359,64947,0.5270522225443616,4.270205,16,64820,64852
360,64947,0.528730943011507,4.270205,16,64820,64852
361,64947,0.5182662590158378,4.270205,16,64820,64852
362,64947,0.5125040667859454,4.270205,16,64820,64852
363,64947,0.4943269531115965,4.270205,16,64820,64852
