generation,id,novelty,score,species,parent1,parent2
114,55435,0.1415445177221889,0.7619201414712334,7,54537,54921
115,56158,0.22033959042791196,0.7610425484903405,2,55633,55586
116,56395,0.30047949926533446,0.7614977861843493,7,55883,55961
117,57195,0.29573182428782185,0.7567044316203556,2,56696,56769
118,57542,0.29093048206390804,0.76115468493065,8,56963,57039
119,58110,0.3192001985778377,0.7613985180874029,2,49432,57635
120,58504,0.35196091611841035,0.7598713133822128,8,58009,58009
121,58836,0.3674775597203087,0.7532853986966479,7,58380,58406
122,59466,0.46684091066083416,0.7594498916692424,8,59023,58942
123,60009,0.12291338440523063,0.7619519746283139,8,59466,59459
124,60653,0.29456949610211675,0.7606307388241629,6,60039,55756
125,60955,0.21507276907107428,0.7611085844527747,8,60460,60460
126,61467,0.31052651049504315,0.7593145971001909,8,60989,60936
127,61844,0.3334694257038734,0.7611717939426391,7,61343,61356
128,62401,0.4999759655974358,0.7607552259714079,8,61912,61937
129,63076,0.40637765404211146,0.7584602994882187,6,62595,62635
130,63299,0.5345456966610831,0.7576084619765993,7,62769,62765
131,63867,0.32780841097432234,0.7569090489114855,8,63356,63354
132,64409,0.2876513474138322,0.7605908318354109,8,63872,63855
133,64845,0.42159645043668376,0.7607137488421829,8,64324,64316
134,65220,0.1616925227333911,0.76001465578698,7,64773,64731
135,65725,0.397486945995421,0.7584703994910517,7,65202,63241
136,66332,0.28830580751993845,0.7596737336518206,8,65880,65799
137,66780,0.20155400375588828,0.7607140413765215,8,66331,66297
138,67277,0.1985252044687914,0.761255936523129,8,66819,66819
139,67695,0.33582396509292467,0.7621076369368878,7,66673,67247
140,68277,0.31431350762899585,0.7614073602994762,8,67790,61963
141,68903,0.21457989513424489,0.7605265456466576,2,68340,68421
142,69130,0.2271138555840151,0.7590945257059988,7,68743,68802
143,69931,0.324117187507331,0.7625621112517401,6,69489,69489
144,70428,0.17152314759119527,0.7613853476063372,6,69976,69951
145,70968,0.24560038774141327,0.7625701102960839,6,55217,70404
146,71372,0.2897018253124546,0.7616543548927895,2,70888,70885
147,71681,0.16105404955711106,0.7610753912868031,8,71202,71255
148,72265,0.37538106472853916,0.7622586262958682,2,71823,71810
149,72668,0.3293620489859449,0.7601780856130067,8,72195,72181
150,73137,0.3514503966444421,0.7603995062863358,7,72582,72582
151,73846,0.31277502170932964,0.7611079120279622,6,55217,73355
152,74036,0.19581117928054065,0.7608661903414043,8,73551,73551
153,74536,0.1623802281758256,0.7594576272220925,8,74193,74097
154,75369,0.185028092505713,0.7615680333053862,6,74863,74814
155,75808,0.23434162766743305,0.7624932445836832,6,75300,75364
156,76157,0.3319756725708012,0.7608144124622791,8,72732,75686
157,76711,0.3536561943615458,0.7591035225515375,2,76267,76213
158,77039,0.3093343560767252,0.757668298010138,8,76483,76483
159,77899,0.19876439409940394,0.7616565932487852,4,77436,77363
160,78107,0.1843235332817521,0.7609627732056068,8,77608,77571
161,78708,0.21865854623340802,0.7616651683224885,2,49432,78212
162,78965,0.27722296415001746,0.7619981532197492,8,78503,78124
163,79673,0.16595504930175348,0.7625178653488707,6,79265,79310
164,80053,0.20896225113662342,0.7610517139598757,8,79520,79557
165,80386,0.20869625827498267,0.7585469282202373,8,80027,80011
166,81093,0.34831504518645295,0.7610676098086877,2,80599,80591
167,81756,0.33336907436547386,0.7623265529493877,6,81267,81239
168,81938,0.36311017090978004,0.7598998571337593,8,81428,81428
169,82437,0.20437857675014118,0.7607763995574516,8,81878,81874
170,82960,0.2587751721780878,0.7610842489465662,8,82422,82357
171,83681,0.19069016888280432,0.7619477631490138,6,69455,83168
172,83900,0.5228123902050567,0.7614340003311407,8,78997,83412
173,84415,0.13619640115791568,0.7622600692537421,7,84003,83955
174,84828,0.20643580747644663,0.7574721115832077,8,84381,84306
175,85376,0.16795269170042715,0.7604235404221951,8,72181,84827
176,85980,2.071177546971786,0.7839423849992695,2,85613,85650
177,85980,1.924321231030964,0.7839423849992695,2,85613,85650
178,87151,1.4516980184958497,0.8360353448673229,2,86720,86697
179,87151,1.342543600805137,0.8360353448673229,2,86720,86697
180,85980,1.8408568027211467,0.7839423849992695,2,85613,85650
181,85980,1.8157550396360227,0.7839423849992695,2,85613,85650
182,85980,1.9037026783526423,0.7839423849992695,2,85613,85650
183,85980,1.8379969407919945,0.7839423849992695,2,85613,85650
184,85980,2.000209179873848,0.7839423849992695,2,85613,85650
185,85980,2.0165167609618826,0.7839423849992695,2,85613,85650
186,85980,1.9277339714365276,0.7839423849992695,2,85613,85650
187,85980,1.9597481672637875,0.7839423849992695,2,85613,85650
188,85980,1.6499670970793678,0.7839423849992695,2,85613,85650
189,85980,1.857526858868488,0.7839423849992695,2,85613,85650
190,85980,1.459185129138267,0.7839423849992695,2,85613,85650
191,93553,1.1587186276381376,0.7906740308178919,7,93082,93099
192,94053,1.1252171669654907,0.8448556168161316,2,93530,93588
193,94547,1.0844102731302336,0.7968916052378949,2,94054,94054
194,94826,1.2615297343904641,0.8443402133077768,7,93553,94496
195,94826,1.4034125210284703,0.8443402133077768,7,93553,94496
196,95951,1.5190291026212976,0.9423221523443901,7,95424,95435
197,95951,1.6144512714452053,0.9423221523443901,7,95424,95435
198,97016,1.1136205108196147,1.0,7,96492,95908
